start optimizing shard counts for equi-shard
Iteration 2600: empty shards = 389, p95 shard % = 81.23%, min = 0, mean = 384.62, max = 535, p95Sum = 141.00
Iteration 2590: empty shards = 0, p95 shard % = 94.94%, min = 154, mean = 386.10, max = 573, p95Sum = 311.00
Iteration 2580: empty shards = 386, p95 shard % = 81.20%, min = 0, mean = 387.60, max = 531, p95Sum = 133.00
Iteration 2570: empty shards = 0, p95 shard % = 94.94%, min = 148, mean = 389.11, max = 543, p95Sum = 310.00
Iteration 2560: empty shards = 383, p95 shard % = 81.21%, min = 0, mean = 390.63, max = 538, p95Sum = 133.00
Iteration 2550: empty shards = 0, p95 shard % = 94.98%, min = 162, mean = 392.16, max = 548, p95Sum = 299.00
Iteration 2540: empty shards = 380, p95 shard % = 81.18%, min = 0, mean = 393.70, max = 531, p95Sum = 122.00
Iteration 2530: empty shards = 0, p95 shard % = 95.10%, min = 176, mean = 395.26, max = 555, p95Sum = 295.00
Iteration 2520: empty shards = 377, p95 shard % = 81.35%, min = 0, mean = 396.83, max = 2589, p95Sum = 111.00
Iteration 2510: empty shards = 0, p95 shard % = 95.62%, min = 177, mean = 398.41, max = 6851, p95Sum = 295.00
Iteration 2500: empty shards = 374, p95 shard % = 81.96%, min = 0, mean = 400.00, max = 10513, p95Sum = 122.00

start optimizing shard counts for murmur-hash
Iteration 2700: empty shards = 13, p95 shard % = 90.56%, min = 0, mean = 370.37, max = 984, p95Sum = 670.00
Iteration 2690: empty shards = 13, p95 shard % = 90.56%, min = 0, mean = 371.75, max = 984, p95Sum = 671.00
Iteration 2680: empty shards = 13, p95 shard % = 90.56%, min = 0, mean = 373.13, max = 984, p95Sum = 671.00
Iteration 2670: empty shards = 13, p95 shard % = 90.60%, min = 0, mean = 374.53, max = 984, p95Sum = 673.00
Iteration 2660: empty shards = 13, p95 shard % = 90.60%, min = 0, mean = 375.94, max = 984, p95Sum = 674.00
Iteration 2650: empty shards = 13, p95 shard % = 90.57%, min = 0, mean = 377.36, max = 984, p95Sum = 674.00
Iteration 2640: empty shards = 13, p95 shard % = 90.61%, min = 0, mean = 378.79, max = 984, p95Sum = 679.00
Iteration 2630: empty shards = 13, p95 shard % = 90.61%, min = 0, mean = 380.23, max = 993, p95Sum = 678.00
Iteration 2620: empty shards = 13, p95 shard % = 90.65%, min = 0, mean = 381.68, max = 993, p95Sum = 684.00
Iteration 2610: empty shards = 13, p95 shard % = 90.65%, min = 0, mean = 383.14, max = 1071, p95Sum = 686.00
Iteration 2600: empty shards = 13, p95 shard % = 90.73%, min = 0, mean = 384.62, max = 1071, p95Sum = 689.00
